Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
599,Charlie's Angels: Full Throttle,"$259,175,788","$100,830,111",38.9%,"$158,345,677",61.1%,2003,SonyPicturesEntertainment(SPE),"$37,634,221","$120,000,000","June26,2003(HongKong)",1hr46min,ActionAdventureComedyCrime
600,Parasite,"$258,672,393","$53,369,749",20.6%,"$205,302,644",79.4%,2019,Neon,"$393,216","$11,400,000","May30,2019(SouthKorea)",2hr12min,ComedyDramaThriller
601,Rush Hour 3,"$258,097,122","$140,125,968",54.3%,"$117,971,154",45.7%,2007,NewLineCinema,"$50,237,000","$140,000,000","August8,2007(Philippines)",1hr31min,ActionComedyCrimeThriller
602,The Full Monty,"$257,938,649","$45,950,122",17.8%,"$211,988,527",82.2%,1997,FoxSearchlightPictures,"$176,585","$3,500,000","August15,1997(Domestic)",1hr31min,ComedyDrama
603,Kung Fu Yoga,"$257,753,889","$362,657",0.1%,"$257,391,232",99.9%,2017,,$0,$0,,,
604,Annabelle,"$257,579,282","$84,273,813",32.7%,"$173,305,469",67.3%,2014,WarnerBros.,"$37,134,255","$6,500,000","September23,2014(Israel)",1hr39min,HorrorMysteryThriller
605,The Village,"$256,697,520","$114,197,520",44.5%,"$142,500,000",55.5%,2003,WaltDisneyStudiosMotionPictures,"$50,746,142","$60,000,000","August13,2003(Taiwan)",1hr48min,DramaMysteryThriller
606,Lost in Hong Kong,"$256,283,912","$1,302,281",0.5%,"$254,981,631",99.5%,2015,,$0,$0,,,
607,Erin Brockovich,"$256,271,286","$125,595,205",49%,"$130,676,081",51%,2000,UniversalPictures,"$28,138,465","$52,000,000","March17,2000(Domestic)",2hr11min,BiographyDrama
608,Pegasus,"$255,863,112",-,-,"$255,863,112",100%,2019,,$0,$0,,,
609,Marley & Me,"$255,743,093","$143,153,751",56%,"$112,589,342",44%,2008,,$0,$0,,,
610,Halloween,"$255,614,941","$159,342,015",62.3%,"$96,272,926",37.7%,2018,UniversalPictures,"$76,221,545","$10,000,000","October17,2018(APAC,LATAM)",1hr46min,CrimeHorrorThriller
611,Get Out,"$255,589,157","$176,040,665",68.9%,"$79,548,492",31.1%,2016,,$0,$0,,,
612,Us,"$255,185,482","$175,084,580",68.6%,"$80,100,902",31.4%,2019,UniversalPictures,"$71,117,625","$20,000,000","March20,2019(APAC,EMEA)",1hr56min,HorrorMysteryThriller
613,Cliffhanger,"$255,000,211","$84,049,211",33%,"$170,951,000",67%,1993,TriStarPictures,"$16,176,967","$70,000,000","May28,1993(Domestic)",1hr53min,ActionAdventureThriller
614,Baahubali 2: The Conclusion,"$254,158,390","$20,186,659",7.9%,"$233,971,731",92.1%,2017,,$0,$0,,,
615,Babe,"$254,134,910","$63,658,910",25%,"$190,476,000",75%,1995,,$0,$0,,,
616,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%,2019,SonyPicturesEntertainment(SPE),"$30,035,838","$110,000,000","June12,2019(9markets)",1hr54min,ActionAdventureComedySci-Fi
617,Wild Hogs,"$253,625,427","$168,273,550",66.4%,"$85,351,877",33.6%,2007,,$0,$0,,,
618,High School Musical 3: Senior Year,"$252,909,177","$90,559,416",35.8%,"$162,349,761",64.2%,2008,WaltDisneyStudiosMotionPictures,"$42,030,184","$11,000,000","October22,2008(EMEA)",1hr52min,ComedyDramaFamilyMusicMusicalRomance
619,Hercules,"$252,712,101","$99,112,101",39.2%,"$153,600,000",60.8%,1997,,$0,$0,,,
620,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%,2019,TwentiethCenturyFox,"$32,828,348","$200,000,000","June5,2019(EMEA,APAC)",1hr53min,ActionAdventureSci-Fi
621,True Grit,"$252,276,927","$171,243,005",67.9%,"$81,033,922",32.1%,2010,ParamountPictures,"$24,830,443","$38,000,000","December22,2010(Domestic)",1hr50min,DramaWestern
622,Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%,1997,GramercyPictures(I),"$2,255,233","$18,000,000","October17,1997(Domestic)",1hr29min,AdventureComedyFamily
623,American Hustle,"$251,171,807","$150,117,807",59.8%,"$101,054,000",40.2%,2013,SonyPicturesEntertainment(SPE),"$740,455","$40,000,000","December12,2013(Australia)",2hr18min,CrimeDrama
624,Enemy of the State,"$250,849,789","$111,549,836",44.5%,"$139,299,953",55.5%,1998,WaltDisneyStudiosMotionPictures,"$20,038,573","$90,000,000","November20,1998(Domestic)",2hr12min,ActionThriller
625,You've Got Mail,"$250,821,495","$115,821,495",46.2%,"$135,000,000",53.8%,1998,WarnerBros.,"$18,426,749","$65,000,000","December18,1998(Domestic)",1hr59min,ComedyDramaRomance
626,Eragon,"$250,425,512","$75,030,163",30%,"$175,395,349",70%,2006,TwentiethCenturyFox,"$23,239,907","$100,000,000","December13,2006(7markets)",1hr44min,ActionAdventureFamilyFantasy
627,Brother Bear,"$250,397,798","$85,336,277",34.1%,"$165,061,521",65.9%,2003,,$0,$0,,,
628,The Mask of Zorro,"$250,288,523","$94,095,523",37.6%,"$156,193,000",62.4%,1998,SonyPicturesEntertainment(SPE),"$22,525,855","$95,000,000","July17,1998(Domestic)",2hr16min,ActionAdventureComedyRomanceThrillerWestern
629,The Ring,"$249,348,933","$129,128,133",51.8%,"$120,220,800",48.2%,2002,DreamWorksDistribution,"$15,015,393","$48,000,000","October18,2002(Domestic)",1hr55min,HorrorMystery
630,The Blair Witch Project,"$248,639,099","$140,539,099",56.5%,"$108,100,000",43.5%,1999,ArtisanEntertainment,"$1,512,054","$60,000","July16,1999(Domestic)",1hr21min,HorrorMystery
631,Unbreakable,"$248,118,121","$95,011,339",38.3%,"$153,106,782",61.7%,2000,WaltDisneyStudiosMotionPictures,"$30,330,771","$75,000,000","November22,2000(Domestic)",1hr46min,DramaMysterySci-FiThriller
632,Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",0.4%,"$246,704,898",99.6%,2017,,$0,$0,,,
633,Dumb and Dumber,"$247,275,374","$127,175,374",51.4%,"$120,100,000",48.6%,1994,,$0,$0,,,
634,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,2019,UniversalPictures,"$40,328,920","$20,000,000","January16,2019(EMEA,APAC)",2hr9min,DramaSci-FiThriller
635,Grown Ups 2,"$246,984,278","$133,668,525",54.1%,"$113,315,753",45.9%,2013,SonyPicturesEntertainment(SPE),"$41,508,572","$80,000,000","July11,2013(EMEA)",1hr41min,Comedy
636,The Peanuts Movie,"$246,233,113","$130,178,411",52.9%,"$116,054,702",47.1%,2015,TwentiethCenturyFox,"$44,213,073","$99,000,000","October29,2015(CzechRepublic)",1hr28min,AdventureAnimationComedyDramaFamily
637,The Godfather,"$246,120,986","$134,966,411",54.8%,"$111,154,575",45.2%,1972,,$0,$0,,,
638,Rango,"$245,724,603","$123,477,607",50.2%,"$122,246,996",49.8%,2011,ParamountPictures,"$38,079,323","$135,000,000","March2,2011(EMEA)",1hr47min,AdventureAnimationComedyCrimeDramaFamilyWestern
639,Four Weddings and a Funeral,"$245,700,832","$52,700,832",21.4%,"$193,000,000",78.6%,1994,GramercyPictures(I),"$138,486","$4,400,000","March11,1994(Domestic)",1hr57min,ComedyDramaRomance
640,Face/Off,"$245,676,146","$112,276,146",45.7%,"$133,400,000",54.3%,1997,ParamountPictures,"$23,387,530","$80,000,000","June27,1997(Domestic)",2hr18min,ActionCrimeSci-FiThriller
641,Teenage Mutant Ninja Turtles 2: Out of the Shadows,"$245,623,848","$82,051,601",33.4%,"$163,572,247",66.6%,2016,ParamountPictures,"$35,316,382","$135,000,000","June2,2016(17markets)",1hr52min,ActionAdventureComedySci-Fi
642,Dark Shadows,"$245,527,149","$79,727,149",32.5%,"$165,800,000",67.5%,2012,WarnerBros.,"$29,685,274","$150,000,000","May9,2012(EMEA)",1hr53min,ComedyFantasyHorror
643,Dolittle,"$245,461,797","$77,047,065",31.4%,"$168,414,732",68.6%,2020,UniversalPictures,"$21,844,045","$175,000,000","January8,2020(SouthKorea)",1hr41min,AdventureComedyFamilyFantasy
644,Hulk,"$245,285,165","$132,177,234",53.9%,"$113,107,931",46.1%,2003,UniversalPictures,"$62,128,420","$137,000,000","June19,2003(APAC)",2hr18min,ActionSci-Fi
645,Love Actually,"$245,203,167","$59,696,144",24.4%,"$185,507,023",75.6%,2003,UniversalPictures,"$6,886,080","$40,000,000","November7,2003(Domestic)",2hr15min,ComedyDramaRomance
646,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,2019,,$0,$0,,,
647,Welcome to the Sticks,"$245,144,417",-,-,"$245,144,417",100%,2008,,$0,$0,,,
648,Back to the Future Part III,"$245,077,583","$88,277,583",36%,"$156,800,000",64%,1990,,$0,$0,,,
649,Pixels,"$244,874,809","$78,747,585",32.2%,"$166,127,224",67.8%,2015,SonyPicturesEntertainment(SPE),"$24,011,616","$88,000,000","July16,2015(SouthKorea)",1hr45min,ActionComedyFantasySci-Fi
650,Hercules,"$244,819,862","$72,688,614",29.7%,"$172,131,248",70.3%,2014,ParamountPictures,"$29,800,263","$100,000,000","July23,2014(EMEA,APAC)",1hr38min,ActionAdventureFantasy
651,Rush Hour,"$244,721,064","$141,186,864",57.7%,"$103,534,200",42.3%,1998,NewLineCinema,"$33,001,803","$33,000,000","September18,1998(Domestic)",1hr38min,ActionComedyCrimeThriller
652,Journey to the Center of the Earth,"$244,232,688","$101,704,370",41.6%,"$142,528,318",58.4%,2008,WarnerBros.,"$21,018,141","$60,000,000","July10,2008(APAC,LATAM)",1hr33min,ActionAdventureFamilyFantasySci-Fi
653,After Earth,"$243,611,982","$60,522,097",24.8%,"$183,089,885",75.2%,2013,SonyPicturesEntertainment(SPE),"$27,520,040","$130,000,000","May30,2013(SouthKorea)",1hr40min,ActionAdventureSci-Fi
654,A Few Good Men,"$243,240,178","$141,340,178",58.1%,"$101,900,000",41.9%,1992,ColumbiaPictures,"$15,517,468","$41,000,000","December11,1992(Domestic)",2hr18min,DramaThriller
655,Cloudy with a Chance of Meatballs,"$243,006,126","$124,870,275",51.4%,"$118,135,851",48.6%,2009,SonyPicturesEntertainment(SPE),"$30,304,648","$100,000,000","September16,2009(EMEA,LATAM)",1hr30min,AdventureAnimationComedyDramaFamilyFantasySci-Fi
656,8 Mile,"$242,875,078","$116,750,901",48.1%,"$126,124,177",51.9%,2002,UniversalPictures,"$51,240,555","$41,000,000","November8,2002(Domestic)",1hr50min,DramaMusic
657,Daddy's Home,"$242,786,137","$150,357,137",61.9%,"$92,429,000",38.1%,2015,,$0,$0,,,
658,RoboCop,"$242,688,965","$58,607,007",24.2%,"$184,081,958",75.8%,2014,SonyPicturesEntertainment(SPE),"$21,681,430","$100,000,000","January30,2014(APAC)",1hr57min,ActionCrimeSci-FiThriller
659,Eraser,"$242,295,562","$101,295,562",41.8%,"$141,000,000",58.2%,1996,WarnerBros.,"$24,566,446","$100,000,000","June21,1996(Domestic)",1hr55min,ActionDramaThriller
660,Alien: Covenant,"$240,891,763","$74,262,031",30.8%,"$166,629,732",69.2%,2017,TwentiethCenturyFox,"$36,160,621","$97,000,000","May9,2017(SouthKorea)",2hr2min,HorrorSci-FiThriller
661,Sully,"$240,797,623","$125,070,033",51.9%,"$115,727,590",48.1%,2016,WarnerBros.,"$35,028,301","$60,000,000","September8,2016(EMEA,APAC)",1hr36min,BiographyDrama
662,Assassin's Creed,"$240,697,856","$54,647,948",22.7%,"$186,049,908",77.3%,2016,TwentiethCenturyFox,"$10,278,225","$125,000,000","December21,2016(9markets)",1hr55min,ActionAdventureSci-Fi
663,Click,"$240,685,326","$137,355,633",57.1%,"$103,329,693",42.9%,2006,RevolutionStudios,"$40,011,365","$82,500,000","June22,2006(APAC)",1hr47min,ComedyDramaFantasyRomance
664,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%,2020,,$0,$0,,,
665,Resident Evil: Retribution,"$240,159,255","$42,345,531",17.6%,"$197,813,724",82.4%,2012,ScreenGems,"$21,052,227","$65,000,000","September12,2012(APAC)",1hr35min,ActionHorrorSci-FiThriller
666,Die Hard 2,"$240,031,274","$117,540,947",49%,"$122,490,327",51%,1990,,$0,$0,,,
667,Crocodile Dundee II,"$239,606,210","$109,306,210",45.6%,"$130,300,000",54.4%,1988,,$0,$0,,,
668,Planes,"$239,258,712","$90,288,712",37.7%,"$148,970,000",62.3%,2013,WaltDisneyStudiosMotionPictures,"$22,232,291","$50,000,000","August9,2013(Domestic)",1hr31min,AdventureAnimationComedyFamilySport
669,Crazy Rich Asians,"$238,539,198","$174,532,921",73.2%,"$64,006,277",26.8%,2018,WarnerBros.,"$26,510,140","$30,000,000","August15,2018(EMEA,Domestic)",2hr,ComedyDramaRomance
670,Batman & Robin,"$238,235,719","$107,353,792",45.1%,"$130,881,927",54.9%,1997,WarnerBros.,"$42,872,605","$125,000,000","June20,1997(Domestic)",2hr5min,ActionSci-Fi
671,Downton Abbey,"$237,860,050","$96,854,135",40.7%,"$141,005,915",59.3%,2019,FocusFeatures,"$31,033,665","$13,000,000","September12,2019(EMEA,APAC)",2hr2min,DramaRomance
672,Gulliver's Travels,"$237,382,724","$42,779,261",18%,"$194,603,463",82%,2010,TwentiethCenturyFox,"$6,307,691","$112,000,000","December22,2010(Spain)",1hr25min,AdventureComedyFamilyFantasy
673,Gone in 60 Seconds,"$237,202,299","$101,648,571",42.8%,"$135,553,728",57.2%,2000,WaltDisneyStudiosMotionPictures,"$25,336,048","$90,000,000","June9,2000(Domestic)",1hr58min,ActionCrimeThriller
674,Saturday Night Fever,"$237,113,184","$94,213,184",39.7%,"$142,900,000",60.3%,1977,,$0,$0,,,
675,Silver Linings Playbook,"$236,412,453","$132,092,958",55.9%,"$104,319,495",44.1%,2012,TheWeinsteinCompany,"$443,003","$21,000,000","November16,2012(Domestic)",2hr2min,ComedyDramaRomance
676,2 Fast 2 Furious,"$236,350,661","$127,154,901",53.8%,"$109,195,760",46.2%,2003,UniversalPictures,"$50,472,480","$76,000,000","June5,2003(Australia)",1hr47min,ActionCrimeThriller
677,Hidden Figures,"$236,225,193","$169,607,287",71.8%,"$66,617,906",28.2%,2016,TwentiethCenturyFox,"$515,499","$25,000,000","December25,2016(Domestic)",2hr7min,BiographyDramaHistory
678,Howl's Moving Castle,"$236,214,446","$5,576,743",2.4%,"$230,637,703",97.6%,2004,,$0,$0,,,
679,A.I. Artificial Intelligence,"$235,926,552","$78,616,689",33.3%,"$157,309,863",66.7%,2001,WarnerBros.,"$29,352,630","$100,000,000","June29,2001(Domestic)",2hr26min,DramaSci-Fi
680,Dead Poets Society,"$235,860,116","$95,860,116",40.6%,"$140,000,000",59.4%,1989,,$0,$0,,,
681,Spy,"$235,666,219","$110,825,712",47%,"$124,840,507",53%,2015,TwentiethCenturyFox,"$29,085,719","$65,000,000","May21,2015(APAC)",2hr,ActionComedy
682,American Pie,"$235,483,004","$102,561,004",43.6%,"$132,922,000",56.4%,1999,UniversalPictures,"$18,709,680","$11,000,000","July9,1999(Domestic)",1hr35min,Comedy
683,American Reunion,"$234,989,584","$57,011,521",24.3%,"$177,978,063",75.7%,2012,UniversalPictures,"$21,514,080","$50,000,000","April4,2012(EMEA)",1hr53min,Comedy
684,Big Daddy,"$234,801,895","$163,479,795",69.6%,"$71,322,100",30.4%,1999,SonyPicturesEntertainment(SPE),"$41,536,370","$34,200,000","June25,1999(Domestic)",1hr33min,ComedyDrama
685,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.6%,"$148,911,649",63.4%,2015,,$0,$0,,,
686,The Imitation Game,"$233,555,708","$91,125,683",39%,"$142,430,025",61%,2014,,$0,$0,,,
687,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%,2021,,$0,$0,,,
688,The Day the Earth Stood Still,"$233,093,859","$79,366,978",34%,"$153,726,881",66%,2008,TwentiethCenturyFox,"$30,480,153","$80,000,000","December10,2008(7markets)",1hr44min,DramaSci-FiThriller
689,American Wedding,"$232,722,935","$104,565,114",44.9%,"$128,157,821",55.1%,2003,UniversalPictures,"$33,369,440","$55,000,000","August1,2003(Domestic)",1hr36min,Comedy
690,The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793",44.1%,"$130,101,637",55.9%,2011,SonyPicturesEntertainment(SPE),"$12,768,604","$90,000,000","December21,2011(EMEA,Domestic)",2hr38min,CrimeDramaMysteryThriller
691,Juno,"$232,372,681","$143,495,265",61.8%,"$88,877,416",38.2%,2007,FoxSearchlightPictures,"$413,869","$7,500,000","December5,2007(Domestic)",1hr36min,ComedyDrama
692,Argo,"$232,325,503","$136,025,503",58.6%,"$96,300,000",41.4%,2012,WarnerBros.,"$19,458,109","$44,500,000","October11,2012(Thailand)",2hr,BiographyDramaThriller
693,Mr. Bean's Holiday,"$232,225,908","$33,302,167",14.3%,"$198,923,741",85.7%,2007,,$0,$0,,,
694,The English Patient,"$231,976,425","$78,676,425",33.9%,"$153,300,000",66.1%,1996,Miramax,"$278,439","$27,000,000","November15,1996(Domestic)",2hr42min,DramaRomanceWar
695,Sister Act,"$231,605,150","$139,605,150",60.3%,"$92,000,000",39.7%,1992,,$0,$0,,,
696,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%,2019,WarnerBros.,"$20,269,723","$30,000,000","June23,2019(Vietnam)",1hr46min,HorrorMysteryThriller
697,Constantine,"$230,884,728","$75,976,178",32.9%,"$154,908,550",67.1%,2005,WarnerBros.,"$29,769,098","$100,000,000","February8,2005(APAC)",2hr1min,ActionFantasyHorrorMystery
698,Get Smart,"$230,685,453","$130,319,208",56.5%,"$100,366,245",43.5%,2008,WarnerBros.,"$38,683,480","$80,000,000","June19,2008(9markets)",1hr50min,ActionAdventureComedy
699,Space Jam,"$230,418,342","$90,418,342",39.2%,"$140,000,000",60.8%,1996,,$0,$0,,,
700,Life Is Beautiful,"$230,098,753","$57,563,264",25%,"$172,535,489",75%,1998,,$0,$0,,,
701,The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%,1996,TwentiethCenturyFox,"$39,115,043","$43,000,000","February22,1996(NewZealand)",1hr57min,ActionComedyCrime
702,Ghostbusters,"$229,147,509","$128,350,574",56%,"$100,796,935",44%,2016,SonyPicturesEntertainment(SPE),"$46,018,755","$144,000,000","July11,2016(UnitedKingdom)",1hr57min,ActionComedyFantasySci-Fi
703,Ghost Rider,"$228,738,393","$115,802,596",50.6%,"$112,935,797",49.4%,2007,SonyPicturesEntertainment(SPE),"$45,388,836","$110,000,000","February14,2007(9markets)",1hr50min,ActionFantasyThriller
704,Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.6%,"$226,829,302",99.4%,2015,,$0,$0,,,
705,Paddington 2,"$227,978,645","$40,891,591",17.9%,"$187,087,054",82.1%,2017,,$0,$0,,,
706,Sleepless in Seattle,"$227,927,165","$126,808,165",55.6%,"$101,119,000",44.4%,1993,TriStarPictures,"$17,253,733","$21,000,000","June25,1993(Domestic)",1hr45min,ComedyDramaRomance
707,Lethal Weapon 2,"$227,853,986","$147,253,986",64.6%,"$80,600,000",35.4%,1989,,$0,$0,,,
708,The Green Hornet,"$227,817,248","$98,780,042",43.4%,"$129,037,206",56.6%,2011,SonyPicturesEntertainment(SPE),"$33,526,876","$120,000,000","January12,2011(LATAM,EMEA)",1hr59min,ActionComedyCrime
709,Out of Africa,"$227,514,205","$87,071,205",38.3%,"$140,443,000",61.7%,1985,,$0,$0,,,
710,Youth,"$227,091,290","$1,891,956",0.8%,"$225,199,334",99.2%,2017,,$0,$0,,,
711,Baby Driver,"$226,945,087","$107,825,862",47.5%,"$119,119,225",52.5%,2017,TriStarPictures,"$20,553,320","$34,000,000","June28,2017(4markets)",1hr53min,ActionCrimeDramaMusicThriller
712,Immortals,"$226,904,017","$83,504,017",36.8%,"$143,400,000",63.2%,2011,RelativityMedia,"$32,206,425","$75,000,000","November10,2011(EMEA,APAC)",1hr50min,ActionDramaFantasyRomance
713,Taken,"$226,837,760","$145,000,989",63.9%,"$81,836,771",36.1%,2008,TwentiethCenturyFox,"$24,717,037","$25,000,000","February27,2008(France)",1hr30min,ActionCrimeThriller
714,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",39.2%,"$137,728,906",60.8%,2010,TwentiethCenturyFox,"$31,236,067","$95,000,000","February10,2010(EMEA,APAC)",1hr58min,AdventureFamilyFantasy
715,Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475",24.6%,"$170,646,274",75.4%,2013,ParamountPictures,"$19,690,956","$50,000,000","January17,2013(Russia/CIS)",1hr28min,ActionFantasyHorror
716,Valerian and the City of a Thousand Planets,"$225,973,340","$41,189,488",18.2%,"$184,783,852",81.8%,2017,STXEntertainment,"$17,007,624","$177,200,000","July20,2017(APAC,EMEA)",2hr16min,ActionAdventureFantasySci-Fi
717,Good Will Hunting,"$225,933,435","$138,433,435",61.3%,"$87,500,000",38.7%,1997,,$0,$0,,,
718,Better Days,"$225,918,798","$1,921,657",0.8%,"$223,997,141",99.2%,2019,,$0,$0,,,
719,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%,2019,TwentiethCenturyFox,"$31,474,958","$97,600,000","November13,2019(EMEA,APAC)",2hr32min,ActionBiographyDramaSport
720,Jumper,"$225,132,113","$80,172,128",35.6%,"$144,959,985",64.4%,2008,TwentiethCenturyFox,"$27,354,808","$85,000,000","February13,2008(6markets)",1hr28min,ActionAdventureSci-FiThriller
721,The Social Network,"$224,920,375","$96,962,694",43.1%,"$127,957,681",56.9%,2010,SonyPicturesEntertainment(SPE),"$22,445,653","$40,000,000","October1,2010(Domestic)",2hr,BiographyDrama
722,Chicken Run,"$224,834,564","$106,834,564",47.5%,"$118,000,000",52.5%,2000,,$0,$0,,,
723,Con Air,"$224,012,234","$101,117,573",45.1%,"$122,894,661",54.9%,1997,WaltDisneyStudiosMotionPictures,"$24,131,738","$75,000,000","June6,1997(Domestic)",1hr55min,ActionCrimeThriller
724,Elf,"$223,853,736","$176,630,408",78.9%,"$47,223,328",21.1%,2003,NewLineCinema,"$32,100,000","$33,000,000","November7,2003(Domestic)",1hr37min,AdventureComedyFamilyFantasyRomance
725,Interview with the Vampire: The Vampire Chronicles,"$223,664,608","$105,264,608",47.1%,"$118,400,000",52.9%,1994,WarnerBros.,"$36,389,705","$60,000,000","November11,1994(Domestic)",2hr3min,DramaHorror
726,Flightplan,"$223,387,299","$89,707,299",40.2%,"$133,680,000",59.8%,2005,,$0,$0,,,
727,Yes Man,"$223,241,637","$97,690,976",43.8%,"$125,550,661",56.2%,2008,WarnerBros.,"$18,262,471","$70,000,000","December18,2008(APAC)",1hr44min,ComedyRomance
728,Non-Stop,"$222,809,600","$92,168,600",41.4%,"$130,641,000",58.6%,2014,UniversalPictures,"$28,875,635","$50,000,000","February19,2014(Philippines)",1hr46min,ActionMysteryThriller
729,"Honey, I Shrunk the Kids","$222,724,172","$130,724,172",58.7%,"$92,000,000",41.3%,1989,,$0,$0,,,
730,Fahrenheit 9/11,"$222,446,882","$119,194,771",53.6%,"$103,252,111",46.4%,2004,Lionsgate,"$23,920,637","$6,000,000","June23,2004(Domestic)",2hr2min,DocumentaryDramaWar
731,Wild Wild West,"$222,104,681","$113,804,681",51.2%,"$108,300,000",48.8%,1999,WarnerBros.,"$27,687,484","$170,000,000","June30,1999(Domestic)",1hr46min,ActionComedySci-FiWestern
732,Geostorm,"$221,600,160","$33,700,160",15.2%,"$187,900,000",84.8%,2017,WarnerBros.,"$13,707,376","$120,000,000","October12,2017(APAC)",1hr49min,ActionSci-FiThriller
733,Presumed Innocent,"$221,303,188","$86,303,188",39%,"$135,000,000",61%,1990,,$0,$0,,,
734,Scary Movie 3,"$220,673,217","$110,003,217",49.8%,"$110,670,000",50.2%,2003,DimensionFilms,"$49,700,000","$48,000,000","October24,2003(Domestic)",1hr24min,Comedy
735,Collateral,"$220,239,925","$101,005,703",45.9%,"$119,234,222",54.1%,2004,DreamWorksDistribution,"$24,701,458","$65,000,000","August5,2004(HongKong)",2hr,CrimeDramaThriller
736,Inferno,"$220,021,259","$34,343,574",15.6%,"$185,677,685",84.4%,2016,SonyPicturesEntertainment(SPE),"$14,860,425","$75,000,000","October12,2016(EMEA,APAC)",2hr1min,ActionAdventureCrimeDramaMysteryThriller
737,Knocked Up,"$219,922,417","$148,768,917",67.6%,"$71,153,500",32.4%,2007,UniversalPictures,"$30,690,990","$30,000,000","June1,2007(Domestic)",2hr9min,ComedyRomance
738,Green Lantern,"$219,851,172","$116,601,172",53%,"$103,250,000",47%,2011,WarnerBros.,"$53,174,303","$200,000,000","June15,2011(Egypt)",1hr54min,ActionAdventureSci-Fi
739,What Happens in Vegas,"$219,375,562","$80,277,646",36.6%,"$139,097,916",63.4%,2008,TwentiethCenturyFox,"$20,172,474","$35,000,000","May7,2008(EMEA,APAC)",1hr39min,ComedyRomance
740,It's Complicated,"$219,103,655","$112,735,375",51.4%,"$106,368,280",48.6%,2009,UniversalPictures,"$22,100,820","$85,000,000","December23,2009(EMEA)",2hr1min,ComedyDramaRomance
741,The Terminal,"$219,100,084","$77,872,883",35.5%,"$141,227,201",64.5%,2004,DreamWorksDistribution,"$19,053,199","$60,000,000","June18,2004(Domestic)",2hr8min,ComedyDramaRomance
742,Captain Phillips,"$218,791,811","$107,100,855",49%,"$111,690,956",51%,2013,SonyPicturesEntertainment(SPE),"$25,718,314","$55,000,000","October11,2013(Domestic)",2hr14min,AdventureBiographyCrimeDramaThriller
743,The Prince of Egypt,"$218,613,188","$101,413,188",46.4%,"$117,200,000",53.6%,1998,DreamWorksDistribution,"$14,524,321","$70,000,000","December18,1998(Domestic)",1hr39min,AdventureAnimationDramaFamilyFantasyMusical
744,Jack Reacher,"$218,340,595","$80,070,736",36.7%,"$138,269,859",63.3%,2012,ParamountPictures,"$15,210,156","$60,000,000","December20,2012(EMEA,APAC)",2hr10min,ActionThriller
745,Kingdom of Heaven,"$218,122,627","$47,398,413",21.7%,"$170,724,214",78.3%,2005,TwentiethCenturyFox,"$19,635,996","$130,000,000","May4,2005(17markets)",2hr24min,ActionAdventureDramaHistoryWar
746,The Emoji Movie,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%,2017,SonyPicturesEntertainment(SPE),"$24,531,923","$50,000,000","July27,2017(Israel)",1hr26min,AdventureAnimationComedyFamilyFantasy
747,Dracula Untold,"$217,124,280","$56,280,355",25.9%,"$160,843,925",74.1%,2014,UniversalPictures,"$23,514,615","$70,000,000","September9,2014(Israel)",1hr32min,ActionDramaFantasyHorrorWar
748,Central Intelligence,"$216,972,543","$127,440,871",58.7%,"$89,531,672",41.3%,2016,WarnerBros.,"$35,535,250","$50,000,000","June15,2016(APAC)",1hr47min,ActionComedyCrime
749,Million Dollar Baby,"$216,763,646","$100,492,203",46.4%,"$116,271,443",53.6%,2004,WarnerBros.,"$179,953","$30,000,000","December15,2004(Domestic)",2hr12min,DramaSport
750,The Help,"$216,639,112","$169,708,112",78.3%,"$46,931,000",21.7%,2011,WaltDisneyStudiosMotionPictures,"$26,044,590","$25,000,000","August10,2011(Domestic)",2hr26min,Drama
751,Twins,"$216,614,388","$111,938,388",51.7%,"$104,676,000",48.3%,1988,,$0,$0,,,
752,Little Women,"$216,601,214","$108,101,214",49.9%,"$108,500,000",50.1%,2019,SonyPicturesEntertainment(SPE),"$16,755,310","$40,000,000","December25,2019(LATAM,Domestic)",2hr15min,DramaRomance
753,Valentine's Day,"$216,485,654","$110,485,654",51%,"$106,000,000",49%,2010,WarnerBros.,"$56,260,707","$52,000,000","February10,2010(EMEA)",2hr5min,ComedyRomance
